"Bolge","Gostergeler","Y2005_01","Y2006_01","Y2007_01","Y2008_01","Y2009_01","Y2010_01","Y2011_01","Y2012_01","Y2013_01","Y2014_01","Y2015_01","Y2016_01","Y2017_01","Y2018_01"
"TRB1","Çeþitli Mal Ve Hizmetler",107.05,121.43,139.53,151.75,181.31,207.91,228.19,274.79,297.74,315.03,343.92,376.52,419.76,465.98
"TRB1","Eðitim",123.17,121.45,129.2,130.48,138.62,148.27,159.24,176.42,187.71,211.95,221.89,241.2,255.56,284.71
"TRB1","Eðlence Ve Kültür",110.67,119.43,125.75,122.09,130.31,140.51,136.61,145.94,150.19,159.45,165.8,186.3,198.27,209.24
"TRB1","Gýda Ve Alkolsüz Ýçecekler",111.4,115.82,134.91,146.24,159.25,179.12,194.44,216.99,233.34,257.55,284.07,314.87,341.3,365.21
"TRB1","Giyim Ve Ayakkabý",104.76,96.48,102.49,106.88,112.22,118.31,119.1,128.71,141.77,151.13,160.56,170.62,182.58,222.53
"TRB1","Haberleþme",102.96,106.5,107.07,104.03,109.2,112.05,110.14,110.75,117.62,118.09,121.07,124.05,127.55,128.39
"TRB1","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",115.37,125.64,141.99,158.35,185.18,190.75,205.72,231.84,259.38,273.09,283.51,306.71,324.7,350.18
"TRB1","Lokanta Ve Oteller",118.71,128.19,142.3,154.96,187.5,213.98,244,256.18,285.24,310.02,351.98,380.27,420.83,469.89
"TRB1","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",110.74,115.32,121.49,126.29,138.92,137.33,141.89,159.16,166.23,177.62,190.89,212.54,229.5,258.17
"TRB1","Saðlýk",116.41,115.69,125.85,127.42,130.21,133.25,132.99,132.1,135.63,147.28,158.9,175.6,202.46,232.46
"TRB1","Ulaþtýrma",120.04,138.78,146.98,160.55,167.92,186.67,195.59,224.94,231.06,258.63,252.74,272.05,311.34,362.4
"TRB2","Alkollü Ýçecekler Ve Tütün",120.08,162.46,162.7,190.85,190.88,292.55,297.81,352.19,405.04,419.82,436.55,483.91,597.77,599
"TRB2","Çeþitli Mal Ve Hizmetler",109.38,120.48,135.62,142.87,163.2,181.93,195.53,236.9,267.04,280.19,306.44,340.18,373.01,415.47
"TRB2","Eðitim",135.47,142.49,161.28,169.73,183.99,189.35,205.21,209.57,213.05,238.35,260.04,274.56,280.96,301.1
"TRB2","Eðlence Ve Kültür",104.17,115.95,117.38,109.98,117.25,123.81,119.35,125.96,128.57,135.81,142.55,153.19,164.81,174.33
"TRB2","Gýda Ve Alkolsüz Ýçecekler",107.28,111.71,127.43,140.6,164.47,180.29,195.3,218.27,229.1,250.94,275.36,306.52,330.11,358.08
"TRB2","Giyim Ve Ayakkabý",126.37,118.29,121.48,122.13,122.74,126,132.37,135.34,149.37,158.54,176.94,187.35,196.72,234.73
"TRB2","Haberleþme",102.92,106.76,107.28,102.34,108.8,111.94,108.14,109.87,115.51,114.14,115.51,118.11,120.66,123.06
"TRB2","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",122.72,134.05,157.37,174.67,204.02,215.77,234.53,265.39,291.95,307.79,321.12,346.51,374.21,418.95
"TRB2","Lokanta Ve Oteller",123.64,128.52,147.3,158.67,189.82,225.66,257.08,277.62,301.24,329.29,355.36,407.73,442.7,508.05
"TRB2","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",107.85,113.92,125.56,130.39,142.78,141.62,148.66,165.18,174.07,185.92,200.6,223.08,239.42,273.95
"TRB2","Saðlýk",117.08,124.4,130.01,129.5,131.22,135.14,134.71,134.96,138.34,145.82,147.92,156.46,174.65,195.1
"TRB2","Ulaþtýrma",118.61,130.23,141.74,167.24,169.16,190.55,196.37,226.1,231.73,258.92,260.45,272.66,302.51,358.72
"TRC1","Alkollü Ýçecekler Ve Tütün",120.8,165.17,165.49,196.08,196.41,298.54,306.11,366.51,422.29,438.28,457.1,507.52,624.46,627.1
"TRC1","Çeþitli Mal Ve Hizmetler",119.04,129.55,144.31,157.13,182.88,207.07,226.79,269.16,302.77,318.46,345.68,377.98,429.18,478.12
"TRC1","Eðitim",128.61,142.44,146.45,156.88,164.94,182.99,187.43,200.79,216.36,240.14,270.33,285.86,318.01,341.04
"TRC1","Eðlence Ve Kültür",103.76,115.03,119.89,116.27,128.66,133.99,129.17,136.88,136.33,148.42,159.86,179.9,190.64,207.81
"TRC1","Gýda Ve Alkolsüz Ýçecekler",107.59,110.49,128.14,138.19,155.63,177.52,190.91,216.51,234.06,260.09,280.87,321.4,345.27,374.02
"TRC1","Giyim Ve Ayakkabý",116.07,108.88,109.92,118.24,119.67,109.32,117.97,124.44,131.71,140.73,158.13,166.86,173.86,192.87
"TRC1","Haberleþme",102.38,106.3,106.7,104.45,110.1,112.95,111.3,112.77,119.89,121.43,124.57,127.1,130.42,131.59
"TRC1","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",116.23,125.65,144.12,163.11,190.73,200.69,213.01,241.53,265.98,283.33,308,341.89,367.86,407.51
"TRC1","Lokanta Ve Oteller",113.21,123.32,134,155.65,174.88,200.98,221.96,244.77,261.1,291.26,329.99,359.27,405.83,452.44
"TRC1","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",105.88,107.36,114.64,120.95,132.19,128.01,131.44,148.47,157.42,167.38,183.59,206.02,218.73,247.37
"TRC1","Saðlýk",114.91,122.9,134.42,134.51,134.76,137.36,139.62,137.43,141.62,147.83,154.81,168.44,192.56,218.04
"TRC1","Ulaþtýrma",113.79,125.63,143.2,153.98,164.02,181.43,189.08,214.1,220.8,251.15,251.09,273.28,315.31,365.74
"TRC2","Alkollü Ýçecekler Ve Tütün",120.42,165.65,165.66,195.92,196.01,308.2,311.65,368.38,424.9,440.52,458.23,508.01,627.25,628.4
"TRC2","Çeþitli Mal Ve Hizmetler",114.34,128.78,144.15,160.68,187.41,211.57,235.29,284.75,308.99,324.18,345.98,390.62,468.85,532.71
"TRC2","Eðitim",121.03,131.93,142.09,151.02,165.57,175.32,179.82,193.04,207.36,223.25,245.76,261.59,292.43,329.01
"TRC2","Eðlence Ve Kültür",106.59,111.13,114.28,110.59,117.8,123.28,119.09,124.75,126.78,135.53,141.69,164.91,174.98,190.49
"TRC2","Gýda Ve Alkolsüz Ýçecekler",111.29,115.08,133.92,140.41,160.67,174.07,187.87,211.24,224.55,250.81,277.23,313.42,340.55,359.4
"TRC2","Giyim Ve Ayakkabý",98.48,90.2,92.19,94.74,94.12,102.48,110.47,116.21,129.03,134.35,145.86,150.57,171.71,190.68
"TRC2","Haberleþme",103.29,107.41,108.8,107.68,115.07,118.76,113.16,115.32,121.83,122.4,125.28,127.64,131.56,134.59
"TRC2","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",123.63,134.76,152.84,176.49,198.32,221.8,239.64,265.7,300.63,314.45,347.52,378.44,404.37,441.23
"TRC2","Lokanta Ve Oteller",127.18,141.18,167.36,185.61,213.34,247.52,273.79,293.81,322.16,346.15,414.67,460.26,488.48,553.25
"TRC2","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",108.28,110.91,119.58,123.18,133.98,131.17,135.28,151.35,158.94,168.13,182.09,200.29,209.9,238.6
"TRC2","Saðlýk",110.52,114,122.83,121.77,123.31,129.62,132,130.14,132.56,134.23,137.37,145.93,161.92,176.02
"TRC2","Ulaþtýrma",117.14,131.18,141.05,149.98,155.71,167.49,179.55,203.83,210.53,233.59,225.35,239.81,274.85,321.43
"TRC3","Alkollü Ýçecekler Ve Tütün",119.93,168.03,168.31,199.47,199.57,311.34,316.99,367.87,423.57,438.41,455.47,504.59,623.74,624.47
"TRC3","Çeþitli Mal Ve Hizmetler",109.69,126.47,142.51,156.19,185.84,208.26,225.53,269.93,303.27,310.06,332.49,365.26,417.25,467.7
"TRC3","Eðitim",125.56,134.06,138.85,149.02,128.51,127.49,141.51,150.05,160.02,178.39,188.84,192.57,200.65,206.96
"TRC3","Eðlence Ve Kültür",109.04,110.93,113.64,111.72,121.11,127.18,120.64,126.64,126.29,132.39,140.34,154.74,166.83,182.2
"TRC3","Gýda Ve Alkolsüz Ýçecekler",110.35,114.35,132.8,142.22,163.61,176.29,187.13,209.66,223.78,246.83,269.65,301.81,324.93,355.71
"TRC3","Giyim Ve Ayakkabý",100.41,95.03,90.87,86.13,80.22,82.34,84.64,89.61,95.11,94.96,101.67,107.4,121.69,134.03
"TRC3","Haberleþme",104.35,107.74,108.8,106.5,113.09,116.68,111.2,112.86,118.65,117.34,119.52,121.88,125.28,127.92
"TRC3","Konut, Su, Elektrik, Gaz Ve Diðer Yakýtlar",115.41,129.25,144.31,162.82,182.02,198.31,210.31,235.5,260.29,272.76,291.23,315.74,334.45,375.74
"TRC3","Lokanta Ve Oteller",121.05,130.1,148.9,159.03,183.66,204.35,231.55,244.9,266.88,278.34,307.83,343.21,375.13,429.24
"TRC3","Mobilya, Ev Aletleri Ve Ev Bakým Hizmetleri",105.48,106.56,113.85,117.2,129.71,127.91,131.21,146.67,155.04,161.33,175.77,194.39,209.37,241.22
"TRC3","Saðlýk",109.77,109.11,116.45,113.49,113.78,113.6,115.62,114.2,116.67,123.13,127.97,134.6,169.7,191.93
"TRC3","Ulaþtýrma",110.11,118.03,131.39,147.32,155.87,172.34,182.18,210.97,218.2,240.61,240.36,255.56,287.31,332.09
